Date,High,Low,Open,Close,Volume,Adj Close
2010-02-01,4.150000095367432,3.8299999237060547,3.862499952316284,4.142499923706055,94983200.0,3.804694890975952
2010-02-02,4.237500190734863,4.114999771118164,4.127500057220459,4.184999942779541,84981200.0,3.8437297344207764
2010-02-03,4.237500190734863,4.127500057220459,4.147500038146973,4.21999979019165,56229600.0,3.8758764266967773
2010-02-04,4.182499885559082,3.930000066757202,4.182499885559082,3.9749999046325684,78348000.0,3.6508548259735107
2010-02-05,4.065000057220459,3.9000000953674316,3.9700000286102295,4.054999828338623,60485600.0,3.7243306636810303
2010-02-08,4.144999980926514,3.9674999713897705,4.042500019073486,4.047500133514404,44516000.0,3.717442512512207
2010-02-09,4.132500171661377,3.9749999046325684,4.112500190734863,4.014999866485596,93014400.0,3.6875925064086914
2010-02-10,4.130000114440918,4.012499809265137,4.039999961853027,4.09250020980835,53582800.0,3.758772373199463
2010-02-11,4.324999809265137,4.127500057220459,4.15749979019165,4.28000020980835,69598000.0,3.930981397628784
2010-02-12,4.425000190734863,4.202499866485596,4.25,4.337500095367432,78021200.0,3.9837934970855713
2010-02-16,4.434999942779541,4.34250020980835,4.394999980926514,4.417500019073486,45702400.0,4.057270050048828
2010-02-17,4.474999904632568,4.332499980926514,4.472499847412109,4.460000038146973,87656000.0,4.096304416656494
2010-02-18,4.237500190734863,4.052499771118164,4.215000152587891,4.167500019073486,151550800.0,3.827655792236328
2010-02-19,4.195000171661377,4.125,4.150000095367432,4.144999980926514,51054800.0,3.8069908618927
2010-02-22,4.224999904632568,4.125,4.162499904632568,4.152500152587891,45808400.0,3.8138797283172607
2010-02-23,4.182499885559082,4.010000228881836,4.164999961853027,4.052499771118164,48976400.0,3.7220349311828613
2010-02-24,4.177499771118164,4.074999809265137,4.087500095367432,4.137499809265137,44586800.0,3.800103187561035
2010-02-25,4.110000133514404,3.940000057220459,4.042500019073486,4.099999904632568,57697200.0,3.7656614780426025
2010-02-26,4.110000133514404,4.025000095367432,4.079999923706055,4.050000190734863,39339600.0,3.719738483428955
2010-03-01,4.232500076293945,4.019999980926514,4.052499771118164,4.212500095367432,55586800.0,3.868987560272217
2010-03-02,4.302499771118164,4.179999828338623,4.25,4.210000038146973,53864800.0,3.8666913509368896
2010-03-03,4.257500171661377,4.122499942779541,4.235000133514404,4.15749979019165,39930000.0,3.818471670150757
2010-03-04,4.207499980926514,4.112500190734863,4.175000190734863,4.164999961853027,55739600.0,3.825361490249634
2010-03-05,4.322500228881836,4.135000228881836,4.135000228881836,4.292500019073486,63283200.0,3.9424636363983154
2010-03-08,4.307499885559082,4.212500095367432,4.295000076293945,4.230000019073486,43931200.0,3.885061025619507
2010-03-09,4.429999828338623,4.269999980926514,4.272500038146973,4.387499809265137,83083200.0,4.029716491699219
2010-03-10,4.445000171661377,4.372499942779541,4.375,4.397500038146973,41852000.0,4.038900852203369
2010-03-11,4.377500057220459,4.28000020980835,4.362500190734863,4.297500133514404,54066000.0,3.947056293487549
2010-03-12,4.357500076293945,4.289999961853027,4.34499979019165,4.3125,52035200.0,3.9608335494995117
2010-03-15,4.349999904632568,4.25,4.307499885559082,4.289999961853027,35890400.0,3.940167188644409
2010-03-16,4.465000152587891,4.284999847412109,4.287499904632568,4.440000057220459,66498800.0,4.07793664932251
2010-03-17,4.585000038146973,4.465000152587891,4.465000152587891,4.525000095367432,65116800.0,4.156004428863525
2010-03-18,4.53249979019165,4.324999809265137,4.53249979019165,4.364999771118164,74096400.0,4.009049892425537
2010-03-19,4.442500114440918,4.257500171661377,4.429999828338623,4.3125,58461200.0,3.9608335494995117
2010-03-22,4.400000095367432,4.257500171661377,4.257500171661377,4.382500171661377,43533600.0,4.025123596191406
2010-03-23,4.494999885559082,4.385000228881836,4.414999961853027,4.472499847412109,49361200.0,4.107786178588867
2010-03-24,4.447500228881836,4.315000057220459,4.434999942779541,4.322500228881836,43625200.0,3.970017910003662
2010-03-25,4.412499904632568,4.324999809265137,4.385000228881836,4.335000038146973,49518400.0,3.9814975261688232
2010-03-26,4.417500019073486,4.300000190734863,4.372499942779541,4.335000038146973,34467600.0,3.9814975261688232
